curie,label,retrieved_at
MONDO:0008383,rheumatoid arthritis,2026-06-27T04:59:59.125294
MONDO:0005575,colorectal cancer,2026-06-27T04:59:59.125298
MONDO:0005233,non-small cell lung carcinoma,2026-06-27T04:59:59.125301
MONDO:0008159,postmenopausal osteoporosis,2026-06-27T04:59:59.125303
MONDO:0000757,glucocorticoid-induced osteoporosis,2026-06-27T04:59:59.125306
MONDO:0005083,psoriasis,2026-06-27T04:59:59.125308
MONDO:0005011,Crohn disease,2026-06-27T04:59:59.125311
MONDO:0004979,asthma,2026-06-27T04:59:59.125313
MONDO:0044212,chronic idiopathic urticaria,2026-06-27T04:59:59.125315
MONDO:0005105,melanoma,2026-06-27T04:59:59.125318
MONDO:0018908,non-Hodgkin lymphoma,2026-06-27T04:59:59.125320
MONDO:0004948,B-cell chronic lymphocytic leukemia,2026-06-27T04:59:59.125322
MONDO:0007254,breast cancer,2026-06-27T04:59:59.125325
MONDO:0005101,ulcerative colitis,2026-06-27T04:59:59.125327
MONDO:0005086,renal cell carcinoma,2026-06-27T04:59:59.125329
MONDO:0008538,temporal arteritis,2026-06-27T04:59:59.125331
MONDO:0011849,psoriatic arthritis,2026-06-27T04:59:59.125333
MONDO:0004980,atopic eczema,2026-06-27T04:59:59.125336
MONDO:0005150,age-related macular degeneration,2026-06-27T04:59:59.125338
MONDO:0004728,diabetic macular edema,2026-06-27T04:59:59.125340
MONDO:0015943,eosinophilic granulomatosis with polyangiitis,2026-06-27T04:59:59.125343
MONDO:0005301,multiple sclerosis,2026-06-27T04:59:59.125345
MONDO:0010150,head and neck squamous cell carcinoma,2026-06-27T04:59:59.125347
MONDO:0000451,primary progressive multiple sclerosis,2026-06-27T04:59:59.125350
MONDO:0018906,follicular lymphoma,2026-06-27T04:59:59.125352
MONDO:0001056,gastric cancer,2026-06-27T04:59:59.125355
MONDO:0009693,plasma cell myeloma,2026-06-27T04:59:59.125357
MONDO:0100244,paroxysmal nocturnal hemoglobinuria,2026-06-27T04:59:59.125359
MONDO:0016244,atypical hemolytic-uremic syndrome,2026-06-27T04:59:59.125361
MONDO:0007915,systemic lupus erythematosus,2026-06-27T04:59:59.125364
MONDO:0005556,lupus nephritis,2026-06-27T04:59:59.125366
MONDO:0016168,cryopyrin-associated periodic syndrome,2026-06-27T04:59:59.125368
MONDO:0005393,gout,2026-06-27T04:59:59.125371
MONDO:0018328,homozygous familial hypercholesterolemia,2026-06-27T04:59:59.125373
MONDO:0005439,familial hypercholesterolemia,2026-06-27T04:59:59.125376
MONDO:0019735,polymyalgia rheumatica,2026-06-27T04:59:59.125378
MONDO:0005277,migraine disorder,2026-06-27T04:59:59.125380
MONDO:0043537,cluster headache syndrome,2026-06-27T04:59:59.125382
MONDO:0019623,hereditary angioedema,2026-06-27T04:59:59.125385
MONDO:0006031,chronic rhinosinusitis,2026-06-27T04:59:59.125387
MONDO:0018922,cold agglutinin disease,2026-06-27T04:59:59.125389
MONDO:0002529,skin squamous cell carcinoma,2026-06-27T04:59:59.125392
MONDO:0020804,basal cell carcinoma,2026-06-27T04:59:59.125394
MONDO:0019740,acquired thrombotic thrombocytopenic purpura,2026-06-27T04:59:59.125396
MONDO:0011962,endometrial cancer,2026-06-27T04:59:59.125399
MONDO:0011382,sickle cell disease,2026-06-27T04:59:59.125401
MONDO:0005580,esophageal squamous cell carcinoma,2026-06-27T04:59:59.125403
MONDO:0004132,anal canal squamous cell carcinoma,2026-06-27T04:59:59.125406
MONDO:0019210,cutaneous neuroendocrine carcinoma,2026-06-27T04:59:59.125408
MONDO:0007256,hepatocellular carcinoma,2026-06-27T04:59:59.125410
MONDO:0005494,triple-negative breast carcinoma,2026-06-27T04:59:59.125413
MONDO:0040679,urothelial carcinoma,2026-06-27T04:59:59.125415
MONDO:0018905,diffuse large B-cell lymphoma,2026-06-27T04:59:59.125417
MONDO:0005147,type 1 diabetes mellitus,2026-06-27T04:59:59.125420
MONDO:0001509,endocrine exophthalmos,2026-06-27T04:59:59.125422
MONDO:0004947,B-cell acute lymphoblastic leukemia,2026-06-27T04:59:59.125424
MONDO:0008433,small cell lung carcinoma,2026-06-27T04:59:59.125427
MONDO:0019100,neuromyelitis optica,2026-06-27T04:59:59.125429
MONDO:0017287,immunoglobulin G4-related sclerosing disease,2026-06-27T04:59:59.125431
MONDO:0009348,classic Hodgkin lymphoma,2026-06-27T04:59:59.125434
MONDO:0004967,acute lymphoblastic leukemia,2026-06-27T04:59:59.125436
MONDO:0018874,acute myeloid leukemia,2026-06-27T04:59:59.125439
MONDO:0005140,ovarian carcinoma,2026-06-27T04:59:59.125441
MONDO:0002158,fallopian tube cancer,2026-06-27T04:59:59.125443
MONDO:0005417,wet macular degeneration,2026-06-27T04:59:59.125446
MONDO:0010619,X-linked dominant hypophosphatemic rickets,2026-06-27T04:59:59.125448
MONDO:0018124,Oncogenic osteomalacia,2026-06-27T04:59:59.125451
MONDO:0004975,Alzheimer disease,2026-06-27T04:59:59.125453
MONDO:0015541,hereditary hemophagocytic lymphohistiocytosis,2026-06-27T04:59:59.125455
MONDO:0015545,macrophage activation syndrome,2026-06-27T04:59:59.125458
