curie,label,retrieved_at
NCIT:C65216,Adalimumab,2026-06-27T04:59:59.118744
NCIT:C2039,Bevacizumab,2026-06-27T04:59:59.118753
NCIT:C61313,Denosumab,2026-06-27T04:59:59.118756
NCIT:C2381,Etanercept,2026-06-27T04:59:59.118759
NCIT:C1789,Infliximab,2026-06-27T04:59:59.118761
NCIT:C29299,Omalizumab,2026-06-27T04:59:59.118763
NCIT:C106432,Pembrolizumab,2026-06-27T04:59:59.118767
NCIT:C1702,Rituximab,2026-06-27T04:59:59.118771
NCIT:C1647,Trastuzumab,2026-06-27T04:59:59.118773
NCIT:C84237,Ustekinumab,2026-06-27T04:59:59.118776
NCIT:C95798,Vedolizumab,2026-06-27T04:59:59.118778
NCIT:C68814,Nivolumab,2026-06-27T04:59:59.118780
NCIT:C2654,Ipilimumab,2026-06-27T04:59:59.118782
NCIT:C106250,Atezolizumab,2026-06-27T04:59:59.118784
NCIT:C84217,Tocilizumab,2026-06-27T04:59:59.118787
NCIT:C152315,Secukinumab,2026-06-27T04:59:59.118789
NCIT:C162455,Dupilumab,2026-06-27T04:59:59.118791
NCIT:C67562,Ranibizumab,2026-06-27T04:59:59.118793
NCIT:C157376,Mepolizumab,2026-06-27T04:59:59.118795
NCIT:C77862,Natalizumab,2026-06-27T04:59:59.118798
NCIT:C150390,Guselkumab,2026-06-27T04:59:59.118800
NCIT:C152227,Risankizumab,2026-06-27T04:59:59.118802
NCIT:C152627,Tildrakizumab,2026-06-27T04:59:59.118804
NCIT:C174646,Ixekizumab,2026-06-27T04:59:59.118806
NCIT:C166971,Brodalumab,2026-06-27T04:59:59.118808
NCIT:C1723,Cetuximab,2026-06-27T04:59:59.118810
NCIT:C66250,Ocrelizumab,2026-06-27T04:59:59.118813
NCIT:C1857,Panitumumab,2026-06-27T04:59:59.118815
NCIT:C70741,Obinutuzumab,2026-06-27T04:59:59.118817
NCIT:C38692,Pertuzumab,2026-06-27T04:59:59.118819
NCIT:C66952,Ofatumumab,2026-06-27T04:59:59.118821
NCIT:C70792,Ramucirumab,2026-06-27T04:59:59.118823
NCIT:C74007,Daratumumab,2026-06-27T04:59:59.118825
NCIT:C48386,Eculizumab,2026-06-27T04:59:59.118828
NCIT:C66982,Elotuzumab,2026-06-27T04:59:59.118830
NCIT:C87766,Golimumab,2026-06-27T04:59:59.118832
NCIT:C80972,Certolizumab Pegol,2026-06-27T04:59:59.118834
NCIT:C28898,Abatacept,2026-06-27T04:59:59.118836
NCIT:C91385,Belimumab,2026-06-27T04:59:59.118838
NCIT:C80971,Canakinumab,2026-06-27T04:59:59.118840
NCIT:C174849,Alirocumab,2026-06-27T04:59:59.118843
NCIT:C174672,Evolocumab,2026-06-27T04:59:59.118845
NCIT:C152246,Romosozumab,2026-06-27T04:59:59.118847
NCIT:C152302,Sarilumab,2026-06-27T04:59:59.118849
NCIT:C88594,Benralizumab,2026-06-27T04:59:59.118851
NCIT:C169958,Erenumab,2026-06-27T04:59:59.118853
NCIT:C174842,Fremanezumab,2026-06-27T04:59:59.118855
NCIT:C166816,Galcanezumab,2026-06-27T04:59:59.118857
NCIT:C171835,Eptinezumab,2026-06-27T04:59:59.118860
NCIT:C166535,Lanadelumab,2026-06-27T04:59:59.118862
NCIT:C152710,Tralokinumab,2026-06-27T04:59:59.118864
NCIT:C124657,Ravulizumab,2026-06-27T04:59:59.118866
NCIT:C152582,Tezepelumab,2026-06-27T04:59:59.118869
NCIT:C153093,Sutimlimab,2026-06-27T04:59:59.118871
NCIT:C152197,Reslizumab,2026-06-27T04:59:59.118873
NCIT:C121540,Cemiplimab,2026-06-27T04:59:59.118875
NCIT:C128625,Caplacizumab,2026-06-27T04:59:59.118877
NCIT:C170182,Mirikizumab,2026-06-27T04:59:59.118879
NCIT:C126799,Dostarlimab,2026-06-27T04:59:59.118881
NCIT:C133543,Crizanlizumab,2026-06-27T04:59:59.118883
NCIT:C171829,Bimekizumab,2026-06-27T04:59:59.118885
NCIT:C90578,Isatuximab,2026-06-27T04:59:59.118887
NCIT:C121775,Tislelizumab,2026-06-27T04:59:59.118889
NCIT:C142168,Retifanlimab,2026-06-27T04:59:59.118892
NCIT:C49085,Tremelimumab,2026-06-27T04:59:59.118895
NCIT:C102783,Sacituzumab Govitecan,2026-06-27T04:59:59.118897
NCIT:C114500,Enfortumab Vedotin,2026-06-27T04:59:59.118899
NCIT:C104153,Polatuzumab Vedotin,2026-06-27T04:59:59.118901
NCIT:C88647,Teplizumab,2026-06-27T04:59:59.118903
NCIT:C95797,Teprotumumab,2026-06-27T04:59:59.118905
NCIT:C62528,Blinatumomab,2026-06-27T04:59:59.118907
NCIT:C129691,Mosunetuzumab,2026-06-27T04:59:59.118909
NCIT:C116870,Avelumab,2026-06-27T04:59:59.118912
NCIT:C163022,Epcoritamab,2026-06-27T04:59:59.118914
NCIT:C148486,Glofitamab,2026-06-27T04:59:59.118916
NCIT:C136823,Teclistamab,2026-06-27T04:59:59.118918
NCIT:C103194,Durvalumab,2026-06-27T04:59:59.118921
NCIT:C146860,Elranatamab,2026-06-27T04:59:59.118923
NCIT:C95768,Tafasitamab,2026-06-27T04:59:59.118925
NCIT:C166658,Anifrolumab,2026-06-27T04:59:59.118927
NCIT:C171840,Talquetamab,2026-06-27T04:59:59.118929
NCIT:C88283,Inebilizumab,2026-06-27T04:59:59.118931
NCIT:C175858,Tarlatamab,2026-06-27T04:59:59.118933
NCIT:C152307,Satralizumab,2026-06-27T04:59:59.118935
NCIT:C114299,Belantamab Mafodotin,2026-06-27T04:59:59.118937
NCIT:C128799,Trastuzumab Deruxtecan,2026-06-27T04:59:59.118939
NCIT:C66944,Brentuximab Vedotin,2026-06-27T04:59:59.118941
NCIT:C71542,Inotuzumab Ozogamicin,2026-06-27T04:59:59.118944
NCIT:C1806,Gemtuzumab Ozogamicin,2026-06-27T04:59:59.118946
NCIT:C102566,Mirvetuximab Soravtansine,2026-06-27T04:59:59.118950
NCIT:C169818,Brolucizumab,2026-06-27T04:59:59.118953
NCIT:C169973,Evinacumab,2026-06-27T04:59:59.118955
NCIT:C119744,Burosumab,2026-06-27T04:59:59.118957
NCIT:C175105,Lecanemab,2026-06-27T04:59:59.118960
NCIT:C127123,Emapalumab,2026-06-27T04:59:59.118962
